Country Code,Country Name,Income Group,Indicator Code,Indicator Name,Region,Year,Energy Consump.
BEL,Belgium,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,0.939572924
BEN,Benin,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,94.975035191
BFA,Burkina Faso,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,93.608094160
BGD,Bangladesh,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1994,68.979907185
BGR,Bulgaria,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,2.380942269
BHR,Bahrain,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,0
BHS,The Bahamas,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,0
BIH,Bosnia and Herzegovina,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,33.386144941
BLR,Belarus,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,2.070323489
BLZ,Belize,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,34.080946426
BMU,Bermuda,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),North America,1/1/1994,0
BOL,Bolivia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,35.519427174
BRA,Brazil,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,48.350008518
BRB,Barbados,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,15.112549585
BRN,Brunei Darussalam,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0
BTN,Bhutan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1994,95.290963751
BWA,Botswana,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,48.273152415
CAF,Central African Republic,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,93.187638683
CAN,Canada,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),North America,1/1/1994,21.692693024
CHE,Switzerland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,18.694573810
CHL,Chile,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,34.817683920
CHN,China,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,31.249484167
CIV,Cote d'Ivoire,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,75.606517505
CMR,Cameroon,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,83.609417818
COD,Congo Dem. Rep.,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,96.609130139
COG,Congo Rep.,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,76.470942243
COL,Colombia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,33.972236357
COM,Comoros,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,59.959195624
CPV,Cabo Verde,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,40.411888630
CRI,Costa Rica,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,35.801523883
CUB,Cuba,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,45.777031541
CUW,Curacao,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,0.081382537
CYM,Cayman Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,0
CYP,Cyprus,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,0.723186986
CZE,Czech Republic,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,5.907756675
DEU,Germany,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,2.266202061
DJI,Djibouti,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,30.954448282
DMA,Dominica,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,13.527086134
DNK,Denmark,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,7.330399327
DOM,Dominican Republic,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,24.438973544
DZA,Algeria,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,0.403959587
ECU,Ecuador,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,20.853168207
EGY,Egypt Arab Rep.,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,9.828968420
ERI,Eritrea,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,80.093880364
ESP,Spain,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,9.241375679
EST,Estonia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,9.285196116
ETH,Ethiopia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,96.883885841
FIN,Finland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,25.131940216
FJI,Fiji,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,63.776729055
FRA,France,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,10.934488875
FRO,Faroe Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,3.150943502
FSM,"Micronesia, Fed. Sts.",Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,1.478206168
GAB,Gabon,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,72.892996791
GBR,United Kingdom,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,1.021428484
GEO,Georgia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,22.702287600
GHA,Ghana,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,80.557635541
GIB,Gibraltar,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,0
GIN,Guinea,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,85.949834908
GMB,Gambia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,60.983526823
GNB,Guinea-Bissau,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,88.523400192
GNQ,Equatorial Guinea,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,83.689564380
GRC,Greece,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,8.037282969
GRD,Grenada,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,7.430736491
GRL,Greenland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,14.040713860
GTM,Guatemala,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,68.490485716
GUM,Guam,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0
GUY,Guyana,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,39.707948072
HKG,"Hong Kong SAR, China",High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0.805322432
HND,Honduras,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,63.946866721
HRV,Croatia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,30.098334661
HTI,Haiti,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,95.039600730
HUN,Hungary,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,5.106918467
IDN,Indonesia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,52.813788477
IND,India,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1994,55.557187461
IRL,Ireland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,2.175584613
IRN,Iran Islamic Rep.,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,1.086965059
IRQ,Iraq,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,0.357378714
ISL,Iceland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,54.137553120
ISR,Israel,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,5.649078182
ITA,Italy,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,5.248022105
JAM,Jamaica,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,9.259800610
JOR,Jordan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,2.335692389
JPN,Japan,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,3.567645778
KAZ,Kazakhstan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,1.834412599
KEN,Kenya,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,80.830323689
KGZ,Kyrgyz Republic,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,26.516763907
KIR,Kiribati,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,4.449112176
KNA,St. Kitts and Nevis,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,41.342799194
KOR,Korea Rep.,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0.441574757
KWT,Kuwait,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,0.038770647
LAO,Lao PDR,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,86.575563260
LBN,Lebanon,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,5.364536382
LBR,Liberia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,86.854527097
LBY,Libya,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,2.363397059
LCA,St. Lucia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,3.276619705
LKA,Sri Lanka,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1994,70.580934072
LSO,Lesotho,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,50.814838391
LTU,Lithuania,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,9.823367245
LUX,Luxembourg,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,2.820830015
LVA,Latvia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,28.340834940
MAC,"Macao SAR, China",High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0.520580580
MAR,Morocco,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,17.061277371
MDA,Moldova,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,2.576918605
MDG,Madagascar,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,82.787973030
MDV,Maldives,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1994,4.022887919
MEX,Mexico,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,11.863102926
MHL,Marshall Islands,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,19.442125367
MKD,North Macedonia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,16.582456723
MLI,Mali,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,87.799542420
MLT,Malta,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,0
MMR,Myanmar,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,87.966590971
MNG,Mongolia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,3.043395543
MNP,Northern Mariana Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0
MOZ,Mozambique,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,93.193605453
MRT,Mauritania,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,45.492093035
MUS,Mauritius,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,35.428866801
MWI,Malawi,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,82.031889393
MYS,Malaysia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,9.925926912
NAM,Namibia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,34.318622604
NCL,New Caledonia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,5.421417749
NGA,Nigeria,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,88.611372440
NIC,Nicaragua,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,64.494475509
NLD,Netherlands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,1.264591490
NOR,Norway,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,60.398946186
NPL,Nepal,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1994,92.380241984
NRU,Nauru,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0
NZL,New Zealand,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,30.197795145
OMN,Oman,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,0
PAK,Pakistan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1994,54.195759917
PAN,Panama,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,38.312689293
PER,Peru,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,35.934975815
PHL,Philippines,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,44.435085608
PLW,Palau,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0
PNG,Papua New Guinea,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,69.400899435
POL,Poland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,6.195140782
PRI,Puerto Rico,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,0.254340397
PRK,"Korea, Dem. People's Rep.",Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,8.989769326
PRT,Portugal,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,24.948510630
PRY,Paraguay,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,69.878601092
PSE,West Bank and Gaza,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,20.965299068
PYF,French Polynesia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,7.691394657
QAT,Qatar,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,0
ROU,Romania,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,7.637532364
RUS,Russian Federation,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,3.866873286
RWA,Rwanda,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,78.538976856
SAU,Saudi Arabia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,0.030725365
SDN,Sudan,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,79.487837787
SEN,Senegal,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,54.750520824
SGP,Singapore,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0.477110597
SLB,Solomon Islands,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,60.498642697
SLE,Sierra Leone,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,89.715596687
SLV,El Salvador,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,57.198336770
SOM,Somalia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,89.908102930
SRB,Serbia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,22.027616835
STP,Sao Tome and Principe,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,54.013324456
SVK,Slovak Republic,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,4.717442454
SVN,Slovenia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,12.336093249
SWE,Sweden,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,31.354424120
SWZ,Eswatini,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,73.213454346
SYC,Seychelles,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,2.763245277
SYR,Syrian Arab Republic,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,2.058007569
TCA,Turks and Caicos Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,0.982270049
TCD,Chad,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,98.123683748
TGO,Togo,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,81.552139420
THA,Thailand,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,23.867820386
TJK,Tajikistan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,57.260185825
TKM,Turkmenistan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,0.001874933
TON,Tonga,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,1.226826520
TTO,Trinidad and Tobago,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,1.266419385
TUN,Tunisia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1994,14.202379842
TUR,Turkey,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,24.243076655
TUV,Tuvalu,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,0
TZA,Tanzania,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,95.177635538
UGA,Uganda,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1994,96.842455081
UKR,Ukraine,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,1.105019513
URY,Uruguay,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,42.250980412
USA,United States,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),North America,1/1/1994,4.088641398
UZB,Uzbekistan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1994,1.561012875
VCT,St. Vincent and the Grenadines,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,10.471630609
VEN,Venezuela RB,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,13.792733131
VGB,British Virgin Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,1.130997674
VIR,Virgin Islands (U.S.),High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1994,0
VNM,Vietnam,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,67.986007933
VUT,Vanuatu,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,27.580647114
WSM,Samoa,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1994,46.151733751
AUS,Australia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1995,8.217805712
BRN,Brunei Darussalam,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1995,0
